concept_set_id,concept_set_name_ko,parent_concept_id,note
STAGE_SYSTEM,병기 체계,10000000056,
STAGE_EDITION,병기 판,10000000062,체계와 함께 저장
STAGE_CONTEXT,병기 구분,10000000066,
STAGE_GROUP_AJCC8,AJCC 8판 병기군,10000000072,값별 SNOMED ID 는 2단계에서 용어 서버로 일괄 확인
STAGE_LUGANO,Lugano/Ann Arbor 병기,10000000088,
STAGE_MODIFIER,병기 수식자,10000000095,
TNM_T,T,10000000101,질환별 허용값 부분집합
TNM_N,N,10000000116,
TNM_M,M,10000000127,
ECOG,ECOG 활동능력,10000000134,
RESPONSE_CRITERIA,반응평가 기준,10000000141,
RESPONSE,반응 판정,10000000151,RECIST 값은 SNOMED 미확인
DEAUVILLE,Deauville 5점,10000000157,
RCB_CLASS,RCB 등급,10000000164,
CTCAE_GRADE,CTCAE 등급,10000000169,
AE_CAUSALITY,인과성,10000000175,현 명세 유지
AE_SERIOUSNESS,중대성,10000000182,
YN,예/아니오,10000000189,모름 허용 여부 결정
FAMILY_RELATION,가족 관계,10000000193,
DISCHARGE_STATUS,퇴원 시 상태,10000000202,VISIT_OCCURRENCE discharge_to_concept_id
SMOKING_STATUS,흡연 상태,10000000209,
SURG_PURPOSE,수술 목적,10000000213,
SURG_APPROACH,수술 접근,10000000220,
RT_PURPOSE,방사선 목적,10000000227,
BIOMARKER_RESULT,바이오마커 정성 결과,10000000233,정량은 값+단위
BIRADS_DENSITY,유방 밀도,10000000239,
FIBROSIS_STAGE,섬유화 병기 (NASH CRN),10000000244,
NAS_STEATOSIS,지방증 등급,10000000253,"소엽 염증 0~3, 풍선변성 0~2 별도"
CHILD_PUGH,Child-Pugh,10000000258,
CKD_STAGE,CKD 병기,10000000262,
DR_SEVERITY,당뇨망막병증 등급,10000000269,
WAGNER,Wagner 등급,10000000275,
DM_TYPE,당뇨병 유형,10000000282,
RISK_GROUP,예후지수 위험군,10000000288,IPI/FLIPI/MIPI 공통
SCT_TYPE,조혈모세포이식 유형,10000000293,
ANTP_THERAPY.treatment_intent_type,treatment_intent_type,10000000299,v1 내장 코드표
ANTP_THERAPY.drug_category,drug_category,10000000306,v1 내장 코드표
CL_ACTION_TAKEN_CONCEPT_ID,CL_ACTION_TAKEN_CONCEPT_ID,10000000313,값 집합 미정의 · 2.1 에서 채움
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000314,값 집합 미정의 · 2.1 에서 채움
CL_ADVERSE_EVENT_TYPE_CONCEPT_ID,CL_ADVERSE_EVENT_TYPE_CONCEPT_ID,10000000315,값 집합 미정의 · 2.1 에서 채움
