concept_set_id,concept_id,code,label
STAGE_SYSTEM,10000000057,AJCC,AJCC
STAGE_SYSTEM,10000000058,Lugano,Lugano
STAGE_SYSTEM,10000000059,Ann_Arbor,Ann Arbor
STAGE_SYSTEM,10000000060,FIGO,FIGO
STAGE_SYSTEM,10000000061,기타,기타
STAGE_EDITION,10000000063,7,7
STAGE_EDITION,10000000064,8,8
STAGE_EDITION,10000000065,9,9
STAGE_CONTEXT,10000000067,c,임상
STAGE_CONTEXT,10000000068,p,병리
STAGE_CONTEXT,10000000069,yc,선행치료 후 임상
STAGE_CONTEXT,10000000070,yp,선행치료 후 병리
STAGE_CONTEXT,10000000071,r,재병기
STAGE_GROUP_AJCC8,10000000073,0,0
STAGE_GROUP_AJCC8,10000000074,IA,IA
STAGE_GROUP_AJCC8,10000000075,IA1,IA1
STAGE_GROUP_AJCC8,10000000076,IA2,IA2
STAGE_GROUP_AJCC8,10000000077,IA3,IA3
STAGE_GROUP_AJCC8,10000000078,IB,IB
STAGE_GROUP_AJCC8,10000000079,IIA,IIA
STAGE_GROUP_AJCC8,10000000080,IIB,IIB
STAGE_GROUP_AJCC8,10000000081,IIIA,IIIA
STAGE_GROUP_AJCC8,10000000082,IIIB,IIIB
STAGE_GROUP_AJCC8,10000000083,IIIC,IIIC
STAGE_GROUP_AJCC8,10000000084,IVA,IVA
STAGE_GROUP_AJCC8,10000000085,IVB,IVB
STAGE_GROUP_AJCC8,10000000086,IVC,IVC
STAGE_GROUP_AJCC8,10000000087,IV,IV
STAGE_LUGANO,10000000089,I,I
STAGE_LUGANO,10000000090,IE,IE
STAGE_LUGANO,10000000091,II,II
STAGE_LUGANO,10000000092,IIE,IIE
STAGE_LUGANO,10000000091,II,bulky
STAGE_LUGANO,10000000093,III,III
STAGE_LUGANO,10000000094,IV,IV
STAGE_MODIFIER,10000000096,A,A
STAGE_MODIFIER,10000000097,B,B
STAGE_MODIFIER,10000000098,E,E
STAGE_MODIFIER,10000000099,S,S
STAGE_MODIFIER,10000000100,X,X
TNM_T,10000000102,TX,TX
TNM_T,10000000103,T0,T0
TNM_T,10000000104,Tis,Tis
TNM_T,10000000105,T1,T1
TNM_T,10000000106,T1a,T1a
TNM_T,10000000107,T1b,T1b
TNM_T,10000000108,T1c,T1c
TNM_T,10000000109,T2,T2
TNM_T,10000000110,T2a,T2a
TNM_T,10000000111,T2b,T2b
TNM_T,10000000112,T3,T3
TNM_T,10000000113,T4,T4
TNM_T,10000000114,T4a,T4a
TNM_T,10000000115,T4b,T4b
TNM_N,10000000117,NX,NX
TNM_N,10000000118,N0,N0
TNM_N,10000000119,N1,N1
TNM_N,10000000120,N1a,N1a
TNM_N,10000000121,N1b,N1b
TNM_N,10000000122,N1c,N1c
TNM_N,10000000123,N2,N2
TNM_N,10000000124,N2a,N2a
TNM_N,10000000125,N2b,N2b
TNM_N,10000000126,N3,N3
TNM_M,10000000128,MX,MX
TNM_M,10000000129,M0,M0
TNM_M,10000000130,M1,M1
TNM_M,10000000131,M1a,M1a
TNM_M,10000000132,M1b,M1b
TNM_M,10000000133,M1c,M1c
ECOG,10000000135,0,0
ECOG,10000000136,1,1
ECOG,10000000137,2,2
ECOG,10000000138,3,3
ECOG,10000000139,4,4
ECOG,10000000140,5,5
RESPONSE_CRITERIA,10000000142,RECIST_1.1,RECIST 1.1
RESPONSE_CRITERIA,10000000143,iRECIST,iRECIST
RESPONSE_CRITERIA,10000000144,Lugano_2014,Lugano 2014
RESPONSE_CRITERIA,10000000145,Cheson_2007,Cheson 2007
RESPONSE_CRITERIA,10000000146,Deauville,Deauville
RESPONSE_CRITERIA,10000000147,RCB,RCB
RESPONSE_CRITERIA,10000000148,pCR,pCR
RESPONSE_CRITERIA,10000000149,mRECIST,mRECIST
RESPONSE_CRITERIA,10000000150,기타,기타
RESPONSE,10000000152,CR,CR
RESPONSE,10000000153,PR,PR
RESPONSE,10000000154,SD,SD
RESPONSE,10000000155,PD,PD
RESPONSE,10000000156,NE,NE
DEAUVILLE,10000000158,1,1
DEAUVILLE,10000000159,2,2
DEAUVILLE,10000000160,3,3
DEAUVILLE,10000000161,4,4
DEAUVILLE,10000000162,5,5
DEAUVILLE,10000000163,X,X
RCB_CLASS,10000000165,0,(pCR)
RCB_CLASS,10000000166,I,I
RCB_CLASS,10000000167,II,II
RCB_CLASS,10000000168,III,III
CTCAE_GRADE,10000000170,1,1
CTCAE_GRADE,10000000171,2,2
CTCAE_GRADE,10000000172,3,3
CTCAE_GRADE,10000000173,4,4
CTCAE_GRADE,10000000174,5,5
AE_CAUSALITY,10000000176,확실,확실
AE_CAUSALITY,10000000177,상당히_확실,상당히 확실
AE_CAUSALITY,10000000178,가능,가능
AE_CAUSALITY,10000000179,가능성_적음,가능성 적음
AE_CAUSALITY,10000000180,평가_불가,평가 불가
AE_CAUSALITY,10000000181,관련_없음,관련 없음
AE_SERIOUSNESS,10000000183,사망,사망
AE_SERIOUSNESS,10000000184,생명_위협,생명 위협
AE_SERIOUSNESS,10000000185,입원·연장,입원·연장
AE_SERIOUSNESS,10000000186,장애,장애
AE_SERIOUSNESS,10000000187,선천_기형,선천 기형
AE_SERIOUSNESS,10000000188,기타_중요,기타 중요
YN,10000000190,1,예
YN,10000000191,0,아니오
YN,10000000192,9,모름
FAMILY_RELATION,10000000194,부,부
FAMILY_RELATION,10000000195,모,모
FAMILY_RELATION,10000000196,형제,형제
FAMILY_RELATION,10000000197,자매,자매
FAMILY_RELATION,10000000198,자녀,자녀
FAMILY_RELATION,10000000199,조부모,조부모
FAMILY_RELATION,10000000200,기타_2촌_이내,기타 2촌 이내
FAMILY_RELATION,10000000201,3촌_이상,3촌 이상
DISCHARGE_STATUS,10000000203,호전,호전
DISCHARGE_STATUS,10000000204,미호전,미호전
DISCHARGE_STATUS,10000000205,사망,사망
DISCHARGE_STATUS,10000000206,전원,전원
DISCHARGE_STATUS,10000000207,자의_퇴원,자의 퇴원
DISCHARGE_STATUS,10000000208,기타,기타
SMOKING_STATUS,10000000210,현재,현재
SMOKING_STATUS,10000000211,과거,과거
SMOKING_STATUS,10000000212,비흡연,비흡연
SURG_PURPOSE,10000000214,근치,근치
SURG_PURPOSE,10000000215,고식,고식
SURG_PURPOSE,10000000216,진단,진단
SURG_PURPOSE,10000000217,예방,예방
SURG_PURPOSE,10000000218,재건,재건
SURG_PURPOSE,10000000219,이식,이식
SURG_APPROACH,10000000221,개복,개복
SURG_APPROACH,10000000222,복강경,복강경
SURG_APPROACH,10000000223,로봇,로봇
SURG_APPROACH,10000000224,흉강경,흉강경
SURG_APPROACH,10000000225,내시경,내시경
SURG_APPROACH,10000000226,전환(비개복→개복),전환(비개복→개복)
RT_PURPOSE,10000000228,근치,근치
RT_PURPOSE,10000000229,보조,보조
RT_PURPOSE,10000000230,선행,선행
RT_PURPOSE,10000000231,고식,고식
RT_PURPOSE,10000000232,예방적,예방적
BIOMARKER_RESULT,10000000234,양성,양성
BIOMARKER_RESULT,10000000235,음성,음성
BIOMARKER_RESULT,10000000236,불명확,불명확
BIOMARKER_RESULT,10000000237,미시행,미시행
BIOMARKER_RESULT,10000000238,부적절_검체,부적절 검체
BIRADS_DENSITY,10000000240,A,A
BIRADS_DENSITY,10000000241,B,B
BIRADS_DENSITY,10000000242,C,C
BIRADS_DENSITY,10000000243,D,D
FIBROSIS_STAGE,10000000245,F0,F0
FIBROSIS_STAGE,10000000246,F1,F1
FIBROSIS_STAGE,10000000247,F1a,F1a
FIBROSIS_STAGE,10000000248,F1b,F1b
FIBROSIS_STAGE,10000000249,F1c,F1c
FIBROSIS_STAGE,10000000250,F2,F2
FIBROSIS_STAGE,10000000251,F3,F3
FIBROSIS_STAGE,10000000252,F4,F4
NAS_STEATOSIS,10000000254,0,0
NAS_STEATOSIS,10000000255,1,1
NAS_STEATOSIS,10000000256,2,2
NAS_STEATOSIS,10000000257,3,3
CHILD_PUGH,10000000259,A,A
CHILD_PUGH,10000000260,B,B
CHILD_PUGH,10000000261,C,C
CKD_STAGE,10000000263,G1,G1
CKD_STAGE,10000000264,G2,G2
CKD_STAGE,10000000265,G3a,G3a
CKD_STAGE,10000000266,G3b,G3b
CKD_STAGE,10000000267,G4,G4
CKD_STAGE,10000000268,G5,G5
DR_SEVERITY,10000000270,없음,없음
DR_SEVERITY,10000000271,경증_NPDR,경증 NPDR
DR_SEVERITY,10000000272,중등도_NPDR,중등도 NPDR
DR_SEVERITY,10000000273,중증_NPDR,중증 NPDR
DR_SEVERITY,10000000274,PDR,PDR
WAGNER,10000000276,0,0
WAGNER,10000000277,1,1
WAGNER,10000000278,2,2
WAGNER,10000000279,3,3
WAGNER,10000000280,4,4
WAGNER,10000000281,5,5
DM_TYPE,10000000283,1형,1형
DM_TYPE,10000000284,2형,2형
DM_TYPE,10000000285,임신성,임신성
DM_TYPE,10000000286,기타_특정형,기타 특정형
DM_TYPE,10000000287,미분류,미분류
RISK_GROUP,10000000289,저위험,저위험
RISK_GROUP,10000000290,저중간,저중간
RISK_GROUP,10000000291,고중간,고중간
RISK_GROUP,10000000292,고위험,고위험
SCT_TYPE,10000000294,자가,자가
SCT_TYPE,10000000295,동종_형제,동종 형제
SCT_TYPE,10000000296,동종_비혈연,동종 비혈연
SCT_TYPE,10000000297,반일치,반일치
SCT_TYPE,10000000298,제대혈,제대혈
ANTP_THERAPY.treatment_intent_type,10000000300,1,Neoadjuvant
ANTP_THERAPY.treatment_intent_type,10000000301,2,Adjuvant
ANTP_THERAPY.treatment_intent_type,10000000302,3,Palliative
ANTP_THERAPY.treatment_intent_type,10000000303,4,Maintenance
ANTP_THERAPY.treatment_intent_type,10000000304,5,Definitive
ANTP_THERAPY.treatment_intent_type,10000000305,6,Salvage
ANTP_THERAPY.drug_category,10000000307,1,세포독성항암제
ANTP_THERAPY.drug_category,10000000308,2,표적치료제
ANTP_THERAPY.drug_category,10000000309,3,호르몬치료제
ANTP_THERAPY.drug_category,10000000310,4,항체-약물 접합체
ANTP_THERAPY.drug_category,10000000311,5,면역항암제
ANTP_THERAPY.drug_category,10000000312,6,기타
